text,id_str
"Newly released photos appear to reveal unexpected advances in North Korea's missile program, experts say… https://t.co/kXhunIAHAf",900309174843822080
Dozens of people in Vietnam have been killed in flooding caused by Tropical Cyclone Damrey https://t.co/6YalLSqgvp https://t.co/phmJA3cG6r,927756330382888961
A 98-year-old woman arrested while protesting a natural gas pipeline expansion https://t.co/PaxvlK03yb https://t.co/4jFrdvfPaD,880355663792283648
Uber says it has started using self-driving trucks to haul freight in Arizona https://t.co/0POYBWXS5u https://t.co/2WyCPG2EDW,971672146287169536
"Retail has seen one of its toughest years, with a record number of store closings https://t.co/HYPleuXNNl https://t.co/HMWPJhPuBE",945689444522319872
"Obama: ""If it is orderly and lawful, immigration is good for our economy. It keeps this country young"" and dynamic https://t.co/87M4ia8DZX",798273192750157824
An investigation into the death of a mentally ill man who was repeatedly tased in his shower by two West Milwaukee… https://t.co/2R2uyUZE9e,990055784179519488
Trump's lawyers are fighting to keep his Trump U. video depositions out of political ads https://t.co/q9xkiMrEbY https://t.co/SmB3UC0G9B,753686761507807236
"This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt… https://t.co/p4A4wHOtoE",979475024167014400
"Ex-NBA star Dennis Rodman expected in North Korea, Tuesday. He's one of the only Americans to have met Kim Jong Un… https://t.co/r3iwgj3bTJ",874470760529752064
A man who was convicted of killing his two daughters while his wife listened on the phone was executed Thursday nig… https://t.co/HqPRZcQCAE,959315955519127552
"Jack King, the voice of the historic Apollo 11 launch, dies at age 84. A look at his legacy: http://t.co/FYOa7kcXxg http://t.co/VdBPEKhVN8",609412628268449792
President Trump and Israeli PM Benjamin Netanyahu are speaking live. Watch on CNN or @CNNgo https://t.co/UYpqI3esEb https://t.co/Q2Y6qrp88p,866704964248190976
"'What good does it do now?"" Bernie Sanders won't speculate on whether he could have won the election https://t.co/rfyBi7mLhk",797030107084943360
"Wind and rain whipped Marco Island, Florida, as #HurricaneIrma made its way up the Florida coast… https://t.co/6cp4k6I5kS",907073275964133376
"Cashier: Wouldn't you rather have a doll that looks like you?

Girl:  ""She is a pretty girl, I am a pretty girl""… https://t.co/Sa3U5x6TJ9",848994534650413056
"""Real courage is when you know you're licked before you begin..."": Remembering Harper Lee https://t.co/3HAHnLhvw2 https://t.co/TTdRBUGI1d",700757493782343682
African American religious leaders are criticizing the 100 black pastors endorsing Trump https://t.co/fiiffuVp3Q https://t.co/Y72LoKLXQN,670331007409774592
Donald Trump is producing the greatest reality show ever | Analysis by @CillizzaCNN https://t.co/7KPurEFWGT https://t.co/QStWKYAO6C,971215283464605696
"Bernie Sanders on Jeff Sessions: “I’m going to listen to what [he] has to say..."" #SandersTownHall https://t.co/XslSRrICn7",818648069910634496
"Three weeks after Hurricane Maria, Puerto Rico still desperately needs help https://t.co/hLMKqzy2In https://t.co/PN22Fwuuow",918845723562708992
Dick Clark Productions slams 'defamatory' and 'outrageous' allegations that Mariah Carey was sabotaged… https://t.co/OyvbBU8ORV,816135753797345280
7-year-old Syrian refugee Bana Alabed has been granted Turkish citizenship https://t.co/yBwlv8R3p6 https://t.co/RVhivG5KZd,863127897867005952
"For fugitives on the run, time is running out. CNN’s “The Hunt” with @john_walsh returns Sunday! #JoinTheHunt https://t.co/DdaXKxcEcw",743843458264236035
We're live in #Hiroshima with @MKosinskiCNN covering @POTUS historic visit https://t.co/55sDKuoVPP,736161161813594112
They’re Olympians and comics. Writers and politicians. Meet 25 influential Muslims who are changing America.… https://t.co/vo16Kd597Y,992448938820108288
"In an unusual alliance, Donald Trump is siding with Ted Cruz over internet domains https://t.co/8ctc8WrucA https://t.co/40T9MGhhQ5",778743618752290817
"Tesla's brief reign as the most valuable US automaker has come to an end, at least for now https://t.co/DEQNlH6NhA https://t.co/VYuqyBDwEn",883239137830207488
The horrors of war captured in a single image https://t.co/bVNEA4quTZ https://t.co/7qSgKSADsY,766274956409929728
Belarusian writer Svetlana Alexievich wins #NobelPrize in Literature: http://t.co/czs4zK4U4i http://t.co/Fp1yyvHcVm,652082011130216448
Which ancient treasures did ISIS destroy in Palmyra? https://t.co/EgwCIPn4WJ https://t.co/KKwNbuD0TI,714404922398285824
"As a battle over immigration plays out in Washington, DC, @VanJones68 met with Houston locals to see what they made… https://t.co/ChGiTJELHb",962486960198684672
Surprise discovery shifts strategy to save priceless Corvette that fell into sinkhole: http://t.co/pTchkd2Gn9 http://t.co/2VNmYN9ALD,608808647829803008
"5 takeaways from the Republican debate.
https://t.co/EOO9swDKTX https://t.co/bHUajxX2xR",698792279008505856
This photographer has traveled across the United States taking mesmerizing pictures of abandoned drive-in movie the… https://t.co/5KJyM0jgOF,947527455098712064
This high school basketball player from a Chicago suburb scored the winning goal for his team by making an unbeliev… https://t.co/yd1MRmH08y,957712834728812544
"5 things for Wednesday:

- White House
- Terror bulletin
- Bill Cosby
- Fentanyl
- Teen deaths… https://t.co/Iwj22dGVHL",864798906701553664
"Young people with severe autism are spending weeks or months in emergency rooms/acute-care hospitals, study shows… https://t.co/7hg2VmkbhX",922416094010331136
China's President Xi Jinping has spoken to Donald Trump to congratulate him on his election victory… https://t.co/DpyzDP66rO,798139923106791424
"She couldn't compete in the Olympics because of apartheid. Years later, her son made history https://t.co/5SvqUXNivb https://t.co/aTGM4MfCf7",765782714641477632
