StartDate,EndDate,IPAddress,Duration (in seconds),RecordedDate,LocationLatitude,LocationLongitude,Age,Gender,Interest_politics,tmarkov1,tmarkov2,tmarkov3,tmarkov4,tmarkov5,tmarkov6,tmarkov7,treal1,treal2,treal3,treal4,treal5,treal6,treal7,tlstm1,tlstm2,tlstm3,tlstm4,tlstm5,tlstm6,tlstm7,cmarkov1,cmarkov2,cmarkov3,cmarkov4,cmarkov5,cmarkov6,cmarkov7,creal1,creal2,creal3,creal4,creal5,creal6,creal7,clstm1,clstm2,clstm3,clstm4,clstm5,clstm6,clstm7,SC0
2018-06-25 19:34:31,2018-06-25 19:38:37,213.247.75.246,246,2018-06-25 19:38:37,52.202697753906,4.3988037109375,16,Female,Low,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,1,16
2018-06-25 21:52:43,2018-06-25 21:55:14,62.131.5.197,150,2018-06-25 21:55:15,51.96809387207,5.6800994873047,21,Male,Medium,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,16
2018-06-25 21:32:03,2018-06-25 21:35:51,145.116.156.161,227,2018-06-25 21:35:51,51.835296630859,5.8650054931641,22,Female,High,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,17
2018-06-25 19:24:20,2018-06-25 19:39:45,77.160.167.83,925,2018-06-25 19:39:46,52.033401489258,5.5489044189453,26,Female,Low,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,1,1,2,17
2018-06-25 21:13:38,2018-06-25 21:20:34,178.229.252.71,416,2018-06-25 21:20:34,52.382400512695,4.8995056152344,26,Other,Medium,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,17
2018-06-25 19:31:29,2018-06-25 19:34:35,62.131.5.197,186,2018-06-25 19:34:36,51.96809387207,5.6800994873047,12,Female,Medium,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,20
2018-06-25 21:54:51,2018-06-25 22:05:22,92.111.25.193,630,2018-06-25 22:05:23,51.981399536133,5.9062957763672,20,Female,Medium,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,2,2,1,1,2,20
2018-06-25 19:34:07,2018-06-25 20:02:22,77.168.25.30,1694,2018-06-25 20:02:22,52.12060546875,4.6493072509766,24,Female,Medium,2,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,20
2018-06-25 20:53:08,2018-06-25 21:09:00,84.27.29.9,951,2018-06-25 21:09:00,51.65739440918,5.2960968017578,20,Male,High,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,21
2018-06-25 19:34:46,2018-06-25 19:54:11,83.86.104.129,1164,2018-06-25 19:54:11,52.036804199219,4.6365051269531,23,Male,High,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,21
2018-06-26 00:33:31,2018-06-26 01:22:00,89.204.139.155,2908,2018-06-26 01:22:00,52.482406616211,13.328903198242,23,Male,High,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,21
2018-06-25 20:54:42,2018-06-25 21:09:15,77.249.122.237,873,2018-06-25 21:09:15,51.848098754883,5.8446960449219,24,Female,Medium,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,21
2018-06-25 21:57:09,2018-06-25 22:04:38,213.124.169.180,449,2018-06-25 22:04:38,51.81950378418,5.8665008544922,25,Female,Medium,2,1,1,2,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,2,21
2018-06-25 19:24:15,2018-06-25 19:33:48,217.103.129.219,573,2018-06-25 19:33:49,51.449600219727,5.4429016113281,26,Male,Low,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,21
2018-06-25 19:34:15,2018-06-25 19:39:58,217.121.119.215,342,2018-06-25 19:39:58,52.255294799805,6.7897033691406,16,Female,Medium,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,22
